cycle_idx,start_time,num_add_task_create,scheduling_iteration_1_0,scheduling_iteration_1_1,scheduling_iteration_2_1,simple_priority_scheduling_task_count,timeline(-1000).max,timeline(-1000).total,timeline(-2000).max,timeline(-2000).total,timeline(-2001).max,timeline(-2001).total,timeline(-2002).max,timeline(-2002).total,timeline(1).max,timeline(1).total,timeline(1000).max,timeline(1000).total,timeline(1001).max,timeline(1001).total,timeline(1002).max,timeline(1002).total,timeline(1003).max,timeline(1003).total,timeline(1004).max,timeline(1004).total,timeline(1005).max,timeline(1005).total,timeline(1006).max,timeline(1006).total,timeline(1007).max,timeline(1007).total,timeline(1008).max,timeline(1008).total,timeline(1009).max,timeline(1009).total,timeline(1010).max,timeline(1010).total,timeline(1011).max,timeline(1011).total,timeline(1012).max,timeline(1012).total,timeline(1013).max,timeline(1013).total,timeline(1014).max,timeline(1014).total,timeline(1015).max,timeline(1015).total,timeline(1016).max,timeline(1016).total,timeline(1017).max,timeline(1017).total,timeline(1018).max,timeline(1018).total,timeline(1019).max,timeline(1019).total,timeline(1020).max,timeline(1020).total,timeline(1021).max,timeline(1021).total,timeline(1022).max,timeline(1022).total,timeline(1023).max,timeline(1023).total,timeline(1024).max,timeline(1024).total,timeline(1025).max,timeline(1025).total,timeline(1026).max,timeline(1026).total,timeline(1027).max,timeline(1027).total,timeline(1028).max,timeline(1028).total,timeline(1029).max,timeline(1029).total,timeline(1030).max,timeline(1030).total,timeline(1031).max,timeline(1031).total,timeline(1032).max,timeline(1032).total,timeline(1033).max,timeline(1033).total,timeline(1034).max,timeline(1034).total,timeline(1035).max,timeline(1035).total,timeline(1036).max,timeline(1036).total,timeline(1037).max,timeline(1037).total,timeline(1038).max,timeline(1038).total,timeline(1039).max,timeline(1039).total,timeline(1040).max,timeline(1040).total,timeline(1041).max,timeline(1041).total,timeline(1042).max,timeline(1042).total,timeline(1043).max,timeline(1043).total,timeline(1044).max,timeline(1044).total,timeline(1045).max,timeline(1045).total,timeline(1046).max,timeline(1046).total,timeline(1047).max,timeline(1047).total,timeline(1048).max,timeline(1048).total,timeline(1049).max,timeline(1049).total,timeline(1050).max,timeline(1050).total,timeline(1051).max,timeline(1051).total,timeline(1052).max,timeline(1052).total,timeline(1053).max,timeline(1053).total,timeline(1054).max,timeline(1054).total,timeline(1055).max,timeline(1055).total,timeline(1056).max,timeline(1056).total,timeline(1057).max,timeline(1057).total,timeline(1058).max,timeline(1058).total,timeline(1059).max,timeline(1059).total,timeline(1060).max,timeline(1060).total,timeline(1061).max,timeline(1061).total,timeline(1062).max,timeline(1062).total,timeline(1063).max,timeline(1063).total,timeline(1064).max,timeline(1064).total,timeline(1065).max,timeline(1065).total,timeline(1066).max,timeline(1066).total,timeline(1067).max,timeline(1067).total,timeline(1068).max,timeline(1068).total,timeline(1069).max,timeline(1069).total,timeline(1070).max,timeline(1070).total,timeline(1071).max,timeline(1071).total,timeline(1072).max,timeline(1072).total,timeline(1073).max,timeline(1073).total,timeline(1074).max,timeline(1074).total,timeline(1075).max,timeline(1075).total,timeline(1076).max,timeline(1076).total,timeline(1077).max,timeline(1077).total,timeline(1078).max,timeline(1078).total,timeline(1079).max,timeline(1079).total,timeline(1080).max,timeline(1080).total,timeline(1081).max,timeline(1081).total,timeline(1082).max,timeline(1082).total,timeline(1083).max,timeline(1083).total,timeline(1084).max,timeline(1084).total,timeline(1085).max,timeline(1085).total,timeline(1086).max,timeline(1086).total,timeline(1087).max,timeline(1087).total,timeline(1088).max,timeline(1088).total,timeline(1089).max,timeline(1089).total,timeline(1090).max,timeline(1090).total,timeline(1091).max,timeline(1091).total,timeline(1092).max,timeline(1092).total,timeline(1093).max,timeline(1093).total,timeline(1094).max,timeline(1094).total,timeline(1095).max,timeline(1095).total,timeline(1096).max,timeline(1096).total,timeline(1097).max,timeline(1097).total,timeline(1098).max,timeline(1098).total,timeline(1099).max,timeline(1099).total,timeline(1100).max,timeline(1100).total,timeline(1101).max,timeline(1101).total,timeline(1102).max,timeline(1102).total,timeline(1103).max,timeline(1103).total,timeline(1104).max,timeline(1104).total,timeline(1105).max,timeline(1105).total,timeline(1106).max,timeline(1106).total,timeline(1107).max,timeline(1107).total,timeline(1108).max,timeline(1108).total,timeline(1109).max,timeline(1109).total,timeline(1110).max,timeline(1110).total,timeline(1111).max,timeline(1111).total,timeline(1112).max,timeline(1112).total,timeline(1113).max,timeline(1113).total,timeline(1114).max,timeline(1114).total,timeline(1115).max,timeline(1115).total,timeline(1116).max,timeline(1116).total,timeline(1117).max,timeline(1117).total,timeline(1118).max,timeline(1118).total,timeline(1119).max,timeline(1119).total,timeline(1120).max,timeline(1120).total,timeline(1121).max,timeline(1121).total,timeline(1122).max,timeline(1122).total,timeline(1123).max,timeline(1123).total,timeline(1124).max,timeline(1124).total,timeline(1125).max,timeline(1125).total,timeline(1126).max,timeline(1126).total,timeline(1127).max,timeline(1127).total,timeline(1128).max,timeline(1128).total,timeline(1129).max,timeline(1129).total,timeline(1130).max,timeline(1130).total,timeline(1131).max,timeline(1131).total,timeline(1132).max,timeline(1132).total,timeline(1133).max,timeline(1133).total,timeline(1134).max,timeline(1134).total,timeline(1135).max,timeline(1135).total,timeline(1136).max,timeline(1136).total,timeline(1137).max,timeline(1137).total,timeline(1138).max,timeline(1138).total,timeline(1139).max,timeline(1139).total,timeline(1140).max,timeline(1140).total,timeline(1141).max,timeline(1141).total,timeline(1142).max,timeline(1142).total,timeline(1143).max,timeline(1143).total,timeline(1144).max,timeline(1144).total,timeline(1145).max,timeline(1145).total,timeline(1146).max,timeline(1146).total,timeline(1147).max,timeline(1147).total,timeline(1148).max,timeline(1148).total,timeline(1149).max,timeline(1149).total,timeline(1150).max,timeline(1150).total,timeline(1151).max,timeline(1151).total,timeline(1152).max,timeline(1152).total,timeline(1153).max,timeline(1153).total,timeline(1154).max,timeline(1154).total,timeline(1155).max,timeline(1155).total,timeline(1156).max,timeline(1156).total,timeline(1157).max,timeline(1157).total,timeline(1158).max,timeline(1158).total,timeline(1159).max,timeline(1159).total,timeline(1160).max,timeline(1160).total,timeline(1161).max,timeline(1161).total,timeline(1162).max,timeline(1162).total,timeline(1163).max,timeline(1163).total,timeline(1164).max,timeline(1164).total,timeline(1165).max,timeline(1165).total,timeline(1166).max,timeline(1166).total,timeline(1167).max,timeline(1167).total,timeline(1168).max,timeline(1168).total,timeline(1169).max,timeline(1169).total,timeline(1170).max,timeline(1170).total,timeline(1171).max,timeline(1171).total,timeline(1172).max,timeline(1172).total,timeline(1173).max,timeline(1173).total,timeline(1174).max,timeline(1174).total,timeline(1175).max,timeline(1175).total,timeline(1176).max,timeline(1176).total,timeline(1177).max,timeline(1177).total,timeline(1178).max,timeline(1178).total,timeline(1179).max,timeline(1179).total,timeline(1180).max,timeline(1180).total,timeline(1181).max,timeline(1181).total,timeline(1182).max,timeline(1182).total,timeline(1183).max,timeline(1183).total,timeline(1184).max,timeline(1184).total,timeline(1185).max,timeline(1185).total,timeline(1186).max,timeline(1186).total,timeline(1187).max,timeline(1187).total,timeline(1188).max,timeline(1188).total,timeline(1189).max,timeline(1189).total,timeline(1190).max,timeline(1190).total,timeline(1191).max,timeline(1191).total,timeline(1192).max,timeline(1192).total,timeline(1193).max,timeline(1193).total,timeline(1194).max,timeline(1194).total,timeline(1195).max,timeline(1195).total,timeline(1196).max,timeline(1196).total,timeline(1197).max,timeline(1197).total,timeline(1198).max,timeline(1198).total,timeline(1199).max,timeline(1199).total
10,1749792607.3932066,100,0.9322323799133301,0.36936187744140625,0.3195662498474121,201,3.0,45.0,3.0,29.0,3.0,25.0,1.0,11.0,1.0,29.0,5.0,82.0,1.0,15.0,2.0,22.0,1.0,11.0,2.0,22.0,1.0,11.0,2.0,22.0,1.0,11.0,2.0,22.0,1.0,11.0,2.0,22.0,1.0,11.0,2.0,22.0,1.0,11.0,2.0,22.0,1.0,11.0,2.0,22.0,1.0,11.0,2.0,22.0,1.0,11.0,2.0,22.0,1.0,11.0,2.0,22.0,1.0,11.0,2.0,22.0,1.0,11.0,2.0,22.0,1.0,11.0,2.0,22.0,1.0,11.0,2.0,22.0,1.0,11.0,2.0,22.0,1.0,11.0,2.0,22.0,1.0,11.0,2.0,22.0,1.0,11.0,2.0,22.0,1.0,11.0,2.0,22.0,1.0,11.0,2.0,22.0,1.0,11.0,2.0,22.0,1.0,11.0,2.0,22.0,1.0,11.0,2.0,22.0,1.0,11.0,2.0,22.0,1.0,11.0,2.0,22.0,1.0,11.0,2.0,22.0,1.0,11.0,2.0,22.0,1.0,11.0,2.0,22.0,1.0,11.0,2.0,22.0,1.0,11.0,2.0,22.0,1.0,11.0,2.0,22.0,1.0,11.0,2.0,22.0,1.0,11.0,2.0,22.0,1.0,11.0,2.0,22.0,1.0,11.0,2.0,22.0,1.0,11.0,2.0,22.0,1.0,11.0,2.0,22.0,1.0,11.0,2.0,22.0,1.0,11.0,2.0,22.0,1.0,11.0,2.0,22.0,1.0,11.0,2.0,22.0,1.0,11.0,2.0,22.0,1.0,11.0,2.0,22.0,1.0,11.0,2.0,22.0,1.0,11.0,2.0,22.0,1.0,11.0,2.0,22.0,1.0,11.0,2.0,22.0,1.0,11.0,2.0,22.0,1.0,11.0,2.0,22.0,1.0,11.0,2.0,22.0,1.0,11.0,2.0,22.0,1.0,11.0,2.0,22.0,1.0,11.0,2.0,22.0,1.0,11.0,2.0,22.0,1.0,11.0,2.0,22.0,1.0,11.0,2.0,22.0,1.0,11.0,2.0,22.0,1.0,11.0,2.0,22.0,1.0,11.0,2.0,22.0,1.0,11.0,2.0,22.0,1.0,11.0,2.0,22.0,1.0,11.0,2.0,22.0,1.0,11.0,2.0,22.0,1.0,11.0,2.0,22.0,1.0,11.0,2.0,22.0,1.0,11.0,2.0,22.0,1.0,11.0,2.0,22.0,1.0,11.0,2.0,22.0,1.0,11.0,2.0,22.0,1.0,11.0,2.0,22.0,1.0,11.0,2.0,22.0,1.0,11.0,2.0,22.0,1.0,11.0,2.0,22.0,1.0,11.0,2.0,22.0,1.0,11.0,2.0,22.0,1.0,11.0,2.0,22.0,1.0,11.0,2.0,22.0,1.0,11.0,2.0,22.0,1.0,11.0,2.0,22.0,1.0,11.0,2.0,22.0,1.0,11.0,2.0,22.0,1.0,11.0,2.0,22.0,1.0,11.0,2.0,22.0,1.0,11.0,2.0,22.0,1.0,11.0,2.0,22.0,1.0,11.0,2.0,22.0,1.0,11.0,2.0,22.0,1.0,11.0,2.0,22.0,1.0,11.0,2.0,22.0,1.0,11.0,2.0,22.0,1.0,11.0,2.0,22.0,1.0,11.0,2.0,22.0,1.0,11.0,2.0,22.0,1.0,11.0,2.0,22.0,1.0,11.0,2.0,22.0,1.0,11.0,2.0,22.0,1.0,11.0,2.0,22.0,1.0,11.0,2.0,22.0,1.0,11.0
20,1749792617.7902029,100,0.3702108860015869,0.5109777450561523,0.3942751884460449,200,3.0,64.0,3.0,23.0,3.0,19.0,1.0,9.0,1.0,32.0,5.0,112.0,1.0,17.0,2.0,18.0,1.0,9.0,2.0,18.0,1.0,9.0,2.0,18.0,1.0,9.0,2.0,18.0,1.0,9.0,2.0,18.0,1.0,9.0,2.0,18.0,1.0,9.0,2.0,18.0,1.0,9.0,2.0,18.0,1.0,9.0,2.0,18.0,1.0,9.0,2.0,18.0,1.0,9.0,2.0,18.0,1.0,9.0,2.0,18.0,1.0,9.0,2.0,18.0,1.0,9.0,2.0,18.0,1.0,9.0,2.0,18.0,1.0,9.0,2.0,18.0,1.0,9.0,2.0,18.0,1.0,9.0,2.0,18.0,1.0,9.0,2.0,18.0,1.0,9.0,2.0,18.0,1.0,9.0,2.0,18.0,1.0,9.0,2.0,18.0,1.0,9.0,2.0,18.0,1.0,9.0,2.0,18.0,1.0,9.0,2.0,18.0,1.0,9.0,2.0,18.0,1.0,9.0,2.0,18.0,1.0,9.0,2.0,18.0,1.0,9.0,2.0,18.0,1.0,9.0,2.0,18.0,1.0,9.0,2.0,18.0,1.0,9.0,2.0,18.0,1.0,9.0,2.0,18.0,1.0,9.0,2.0,18.0,1.0,9.0,2.0,18.0,1.0,9.0,2.0,18.0,1.0,9.0,2.0,18.0,1.0,9.0,2.0,18.0,1.0,9.0,2.0,18.0,1.0,9.0,2.0,18.0,1.0,9.0,2.0,18.0,1.0,9.0,2.0,18.0,1.0,9.0,2.0,18.0,1.0,9.0,2.0,18.0,1.0,9.0,2.0,18.0,1.0,9.0,2.0,18.0,1.0,9.0,2.0,18.0,1.0,9.0,2.0,18.0,1.0,9.0,2.0,18.0,1.0,9.0,2.0,18.0,1.0,9.0,2.0,18.0,1.0,9.0,2.0,18.0,1.0,9.0,2.0,18.0,1.0,9.0,2.0,18.0,1.0,9.0,2.0,18.0,1.0,9.0,2.0,18.0,1.0,9.0,2.0,18.0,1.0,9.0,2.0,18.0,1.0,9.0,2.0,18.0,1.0,9.0,2.0,18.0,1.0,9.0,2.0,18.0,1.0,9.0,2.0,18.0,1.0,9.0,2.0,18.0,1.0,9.0,2.0,18.0,1.0,9.0,2.0,18.0,1.0,9.0,2.0,18.0,1.0,9.0,2.0,18.0,1.0,9.0,2.0,18.0,1.0,9.0,2.0,18.0,1.0,9.0,2.0,18.0,1.0,9.0,2.0,18.0,1.0,9.0,2.0,18.0,1.0,9.0,2.0,18.0,1.0,9.0,2.0,18.0,1.0,9.0,2.0,18.0,1.0,9.0,2.0,18.0,1.0,9.0,2.0,18.0,1.0,9.0,2.0,18.0,1.0,9.0,2.0,18.0,1.0,9.0,2.0,18.0,1.0,9.0,2.0,18.0,1.0,9.0,2.0,18.0,1.0,9.0,2.0,18.0,1.0,9.0,2.0,18.0,1.0,9.0,2.0,18.0,1.0,9.0,2.0,18.0,1.0,9.0,2.0,18.0,1.0,9.0,2.0,18.0,1.0,9.0,2.0,18.0,1.0,9.0,2.0,18.0,1.0,9.0,2.0,18.0,1.0,9.0,2.0,18.0,1.0,9.0,2.0,18.0,1.0,9.0,2.0,18.0,1.0,9.0,2.0,18.0,1.0,9.0,2.0,18.0,1.0,9.0,2.0,18.0,1.0,9.0,2.0,18.0,1.0,9.0,2.0,18.0,1.0,9.0
30,1749792629.0054893,100,0.7023289203643799,0.8337149620056152,0.2866542339324951,200,4.0,96.0,4.0,36.0,4.0,32.0,2.0,20.0,2.0,64.0,7.0,176.0,2.0,36.0,4.0,40.0,2.0,20.0,4.0,40.0,2.0,20.0,4.0,40.0,2.0,20.0,4.0,40.0,2.0,20.0,4.0,40.0,2.0,20.0,4.0,40.0,2.0,20.0,4.0,40.0,2.0,20.0,4.0,40.0,2.0,20.0,4.0,40.0,2.0,20.0,4.0,40.0,2.0,20.0,4.0,40.0,2.0,20.0,4.0,40.0,2.0,20.0,4.0,40.0,2.0,20.0,4.0,40.0,2.0,20.0,4.0,40.0,2.0,20.0,4.0,40.0,2.0,20.0,4.0,40.0,2.0,20.0,4.0,40.0,2.0,20.0,4.0,40.0,2.0,20.0,4.0,40.0,2.0,20.0,4.0,40.0,2.0,20.0,4.0,40.0,2.0,20.0,4.0,40.0,2.0,20.0,4.0,40.0,2.0,20.0,4.0,40.0,2.0,20.0,4.0,40.0,2.0,20.0,4.0,40.0,2.0,20.0,4.0,40.0,2.0,20.0,4.0,40.0,2.0,20.0,4.0,40.0,2.0,20.0,4.0,40.0,2.0,20.0,4.0,40.0,2.0,20.0,4.0,40.0,2.0,20.0,4.0,40.0,2.0,20.0,4.0,40.0,2.0,20.0,4.0,40.0,2.0,20.0,4.0,40.0,2.0,20.0,4.0,40.0,2.0,20.0,4.0,40.0,2.0,20.0,4.0,40.0,2.0,20.0,4.0,40.0,2.0,20.0,4.0,40.0,2.0,20.0,4.0,40.0,2.0,20.0,4.0,40.0,2.0,20.0,4.0,40.0,2.0,20.0,4.0,40.0,2.0,20.0,4.0,40.0,2.0,20.0,4.0,40.0,2.0,20.0,4.0,40.0,2.0,20.0,4.0,40.0,2.0,20.0,4.0,40.0,2.0,20.0,4.0,40.0,2.0,20.0,4.0,40.0,2.0,20.0,4.0,40.0,2.0,20.0,4.0,40.0,2.0,20.0,4.0,40.0,2.0,20.0,4.0,40.0,2.0,20.0,4.0,40.0,2.0,20.0,4.0,40.0,2.0,20.0,4.0,40.0,2.0,20.0,4.0,40.0,2.0,20.0,4.0,40.0,2.0,20.0,4.0,40.0,2.0,20.0,4.0,40.0,2.0,20.0,4.0,40.0,2.0,20.0,4.0,40.0,2.0,20.0,4.0,40.0,2.0,20.0,4.0,40.0,2.0,20.0,4.0,40.0,2.0,20.0,4.0,40.0,2.0,20.0,4.0,40.0,2.0,20.0,4.0,40.0,2.0,20.0,4.0,40.0,2.0,20.0,4.0,40.0,2.0,20.0,4.0,40.0,2.0,20.0,4.0,40.0,2.0,20.0,4.0,40.0,2.0,20.0,4.0,40.0,2.0,20.0,4.0,40.0,2.0,20.0,4.0,40.0,2.0,20.0,4.0,40.0,2.0,20.0,4.0,40.0,2.0,20.0,4.0,40.0,2.0,20.0,4.0,40.0,2.0,20.0,4.0,40.0,2.0,20.0,4.0,40.0,2.0,20.0,4.0,40.0,2.0,20.0,4.0,40.0,2.0,20.0,4.0,40.0,2.0,20.0,4.0,40.0,2.0,20.0,4.0,40.0,2.0,20.0,4.0,40.0,2.0,20.0,4.0,40.0,2.0,20.0,4.0,40.0,2.0,20.0,4.0,40.0,2.0,20.0,4.0,40.0,2.0,20.0,4.0,40.0,2.0,20.0,4.0,40.0,2.0,20.0,4.0,40.0,2.0,20.0
40,1749792640.8911161,100,0.3908984661102295,0.6332283020019531,0.3579549789428711,200,4.0,100.0,4.0,32.0,4.0,28.0,2.0,18.0,2.0,68.0,11.0,320.0,2.0,34.0,4.0,36.0,2.0,18.0,4.0,36.0,2.0,18.0,4.0,36.0,2.0,18.0,4.0,36.0,2.0,18.0,4.0,36.0,2.0,18.0,4.0,36.0,2.0,18.0,4.0,36.0,2.0,18.0,4.0,36.0,2.0,18.0,4.0,36.0,2.0,18.0,4.0,36.0,2.0,18.0,4.0,36.0,2.0,18.0,4.0,36.0,2.0,18.0,4.0,36.0,2.0,18.0,4.0,36.0,2.0,18.0,4.0,36.0,2.0,18.0,4.0,36.0,2.0,18.0,4.0,36.0,2.0,18.0,4.0,36.0,2.0,18.0,4.0,36.0,2.0,18.0,4.0,36.0,2.0,18.0,4.0,36.0,2.0,18.0,4.0,36.0,2.0,18.0,4.0,36.0,2.0,18.0,4.0,36.0,2.0,18.0,4.0,36.0,2.0,18.0,4.0,36.0,2.0,18.0,4.0,36.0,2.0,18.0,4.0,36.0,2.0,18.0,4.0,36.0,2.0,18.0,4.0,36.0,2.0,18.0,4.0,36.0,2.0,18.0,4.0,36.0,2.0,18.0,4.0,36.0,2.0,18.0,4.0,36.0,2.0,18.0,4.0,36.0,2.0,18.0,4.0,36.0,2.0,18.0,4.0,36.0,2.0,18.0,4.0,36.0,2.0,18.0,4.0,36.0,2.0,18.0,4.0,36.0,2.0,18.0,4.0,36.0,2.0,18.0,4.0,36.0,2.0,18.0,4.0,36.0,2.0,18.0,4.0,36.0,2.0,18.0,4.0,36.0,2.0,18.0,4.0,36.0,2.0,18.0,4.0,36.0,2.0,18.0,4.0,36.0,2.0,18.0,4.0,36.0,2.0,18.0,4.0,36.0,2.0,18.0,4.0,36.0,2.0,18.0,4.0,36.0,2.0,18.0,4.0,36.0,2.0,18.0,4.0,36.0,2.0,18.0,4.0,36.0,2.0,18.0,4.0,36.0,2.0,18.0,4.0,36.0,2.0,18.0,4.0,36.0,2.0,18.0,4.0,36.0,2.0,18.0,4.0,36.0,2.0,18.0,4.0,36.0,2.0,18.0,4.0,36.0,2.0,18.0,4.0,36.0,2.0,18.0,4.0,36.0,2.0,18.0,4.0,36.0,2.0,18.0,4.0,36.0,2.0,18.0,4.0,36.0,2.0,18.0,4.0,36.0,2.0,18.0,4.0,36.0,2.0,18.0,4.0,36.0,2.0,18.0,4.0,36.0,2.0,18.0,4.0,36.0,2.0,18.0,4.0,36.0,2.0,18.0,4.0,36.0,2.0,18.0,4.0,36.0,2.0,18.0,4.0,36.0,2.0,18.0,4.0,36.0,2.0,18.0,4.0,36.0,2.0,18.0,4.0,36.0,2.0,18.0,4.0,36.0,2.0,18.0,4.0,36.0,2.0,18.0,4.0,36.0,2.0,18.0,4.0,36.0,2.0,18.0,4.0,36.0,2.0,18.0,4.0,36.0,2.0,18.0,4.0,36.0,2.0,18.0,4.0,36.0,2.0,18.0,4.0,36.0,2.0,18.0,4.0,36.0,2.0,18.0,4.0,36.0,2.0,18.0,4.0,36.0,2.0,18.0,4.0,36.0,2.0,18.0,4.0,36.0,2.0,18.0,4.0,36.0,2.0,18.0,4.0,36.0,2.0,18.0,4.0,36.0,2.0,18.0,4.0,36.0,2.0,18.0,4.0,36.0,2.0,18.0,4.0,36.0,2.0,18.0
50,1749792652.766097,100,0.45415663719177246,0.2046947479248047,0.24581623077392578,199,7.0,184.0,5.0,36.0,5.0,32.0,3.0,24.0,3.0,96.0,14.0,448.0,4.0,116.0,8.0,164.0,3.0,36.0,5.0,40.0,3.0,24.0,5.0,40.0,3.0,24.0,5.0,40.0,3.0,24.0,5.0,40.0,3.0,24.0,5.0,40.0,3.0,24.0,5.0,40.0,3.0,24.0,5.0,40.0,3.0,24.0,5.0,40.0,3.0,24.0,5.0,40.0,3.0,24.0,5.0,40.0,3.0,24.0,5.0,40.0,3.0,24.0,5.0,40.0,3.0,24.0,5.0,40.0,3.0,24.0,5.0,40.0,3.0,24.0,5.0,40.0,3.0,24.0,5.0,40.0,3.0,24.0,5.0,40.0,3.0,24.0,5.0,40.0,3.0,24.0,5.0,40.0,3.0,24.0,5.0,40.0,3.0,24.0,5.0,40.0,3.0,24.0,5.0,40.0,3.0,24.0,5.0,40.0,3.0,24.0,5.0,40.0,3.0,24.0,5.0,40.0,3.0,24.0,5.0,40.0,3.0,24.0,5.0,40.0,3.0,24.0,5.0,40.0,3.0,24.0,5.0,40.0,3.0,24.0,5.0,40.0,3.0,24.0,5.0,40.0,3.0,24.0,5.0,40.0,3.0,24.0,5.0,40.0,3.0,24.0,5.0,40.0,3.0,24.0,5.0,40.0,3.0,24.0,5.0,40.0,3.0,24.0,5.0,40.0,3.0,24.0,5.0,40.0,3.0,24.0,5.0,40.0,3.0,24.0,5.0,40.0,3.0,24.0,5.0,40.0,3.0,24.0,5.0,40.0,3.0,24.0,5.0,40.0,3.0,24.0,5.0,40.0,3.0,24.0,5.0,40.0,3.0,24.0,5.0,40.0,3.0,24.0,5.0,40.0,3.0,24.0,5.0,40.0,3.0,24.0,5.0,40.0,3.0,24.0,5.0,40.0,3.0,24.0,5.0,40.0,3.0,24.0,5.0,40.0,3.0,24.0,5.0,40.0,3.0,24.0,5.0,40.0,3.0,24.0,5.0,40.0,3.0,24.0,5.0,40.0,3.0,24.0,5.0,40.0,3.0,24.0,5.0,40.0,3.0,24.0,5.0,40.0,3.0,24.0,5.0,40.0,3.0,24.0,5.0,40.0,3.0,24.0,5.0,40.0,3.0,24.0,5.0,40.0,3.0,24.0,5.0,40.0,3.0,24.0,5.0,40.0,3.0,24.0,5.0,40.0,3.0,24.0,5.0,40.0,3.0,24.0,5.0,40.0,3.0,24.0,5.0,40.0,3.0,24.0,5.0,40.0,3.0,24.0,5.0,40.0,3.0,24.0,5.0,40.0,3.0,24.0,5.0,40.0,3.0,24.0,5.0,40.0,3.0,24.0,5.0,40.0,3.0,24.0,5.0,40.0,3.0,24.0,5.0,40.0,3.0,24.0,5.0,40.0,3.0,24.0,5.0,40.0,3.0,24.0,5.0,40.0,3.0,24.0,5.0,40.0,3.0,24.0,5.0,40.0,3.0,24.0,5.0,40.0,3.0,24.0,5.0,40.0,3.0,24.0,5.0,40.0,3.0,24.0,5.0,40.0,3.0,24.0,5.0,40.0,3.0,24.0,5.0,40.0,3.0,24.0,5.0,40.0,3.0,24.0,5.0,40.0,3.0,24.0,5.0,40.0,3.0,24.0,5.0,40.0,3.0,24.0,5.0,40.0,3.0,24.0,5.0,40.0,3.0,24.0,5.0,40.0,3.0,24.0,5.0,40.0,3.0,24.0,5.0,40.0,3.0,24.0,5.0,40.0,3.0,24.0
60,1749792666.443191,100,0.34911370277404785,0.47208261489868164,0.2605292797088623,198,7.0,225.0,5.0,51.0,5.0,47.0,3.0,33.0,3.0,111.0,14.0,518.0,4.0,136.0,8.0,213.0,3.0,57.0,5.0,55.0,3.0,33.0,5.0,55.0,3.0,33.0,5.0,55.0,3.0,33.0,5.0,55.0,3.0,33.0,5.0,55.0,3.0,33.0,5.0,55.0,3.0,33.0,5.0,55.0,3.0,33.0,5.0,55.0,3.0,33.0,5.0,55.0,3.0,33.0,5.0,55.0,3.0,33.0,5.0,55.0,3.0,33.0,5.0,55.0,3.0,33.0,5.0,55.0,3.0,33.0,5.0,55.0,3.0,33.0,5.0,55.0,3.0,33.0,5.0,55.0,3.0,33.0,5.0,55.0,3.0,33.0,5.0,55.0,3.0,33.0,5.0,55.0,3.0,33.0,5.0,55.0,3.0,33.0,5.0,55.0,3.0,33.0,5.0,55.0,3.0,33.0,5.0,55.0,3.0,33.0,5.0,55.0,3.0,33.0,5.0,55.0,3.0,33.0,5.0,55.0,3.0,33.0,5.0,55.0,3.0,33.0,5.0,55.0,3.0,33.0,5.0,55.0,3.0,33.0,5.0,55.0,3.0,33.0,5.0,55.0,3.0,33.0,5.0,55.0,3.0,33.0,5.0,55.0,3.0,33.0,5.0,55.0,3.0,33.0,5.0,55.0,3.0,33.0,5.0,55.0,3.0,33.0,5.0,55.0,3.0,33.0,5.0,55.0,3.0,33.0,5.0,55.0,3.0,33.0,5.0,55.0,3.0,33.0,5.0,55.0,3.0,33.0,5.0,55.0,3.0,33.0,5.0,55.0,3.0,33.0,5.0,55.0,3.0,33.0,5.0,55.0,3.0,33.0,5.0,55.0,3.0,33.0,5.0,55.0,3.0,33.0,5.0,55.0,3.0,33.0,5.0,55.0,3.0,33.0,5.0,55.0,3.0,33.0,5.0,55.0,3.0,33.0,5.0,55.0,3.0,33.0,5.0,55.0,3.0,33.0,5.0,55.0,3.0,33.0,5.0,55.0,3.0,33.0,5.0,55.0,3.0,33.0,5.0,55.0,3.0,33.0,5.0,55.0,3.0,33.0,5.0,55.0,3.0,33.0,5.0,55.0,3.0,33.0,5.0,55.0,3.0,33.0,5.0,55.0,3.0,33.0,5.0,55.0,3.0,33.0,5.0,55.0,3.0,33.0,5.0,55.0,3.0,33.0,5.0,55.0,3.0,33.0,5.0,55.0,3.0,33.0,5.0,55.0,3.0,33.0,5.0,55.0,3.0,33.0,5.0,55.0,3.0,33.0,5.0,55.0,3.0,33.0,5.0,55.0,3.0,33.0,5.0,55.0,3.0,33.0,5.0,55.0,3.0,33.0,5.0,55.0,3.0,33.0,5.0,55.0,3.0,33.0,5.0,55.0,3.0,33.0,5.0,55.0,3.0,33.0,5.0,55.0,3.0,33.0,5.0,55.0,3.0,33.0,5.0,55.0,3.0,33.0,5.0,55.0,3.0,33.0,5.0,55.0,3.0,33.0,5.0,55.0,3.0,33.0,5.0,55.0,3.0,33.0,5.0,55.0,3.0,33.0,5.0,55.0,3.0,33.0,5.0,55.0,3.0,33.0,5.0,55.0,3.0,33.0,5.0,55.0,3.0,33.0,5.0,55.0,3.0,33.0,5.0,55.0,3.0,33.0,5.0,55.0,3.0,33.0,5.0,55.0,3.0,33.0,5.0,55.0,3.0,33.0,5.0,55.0,3.0,33.0,5.0,55.0,3.0,33.0,5.0,55.0,3.0,33.0
